FWC CONSTANT T_ALERTE LIST;CONSTANT BLOCK: CST_ALERTE;DATE: 2020/12/02_11:35:15;VARIANTE: ;ISSUE: ;;;;;;;;;;;;;;;;;
NAME;IDALERTE;PRIORITY;TITLE;TYPE;SUBTYPE;Spare CLR;Spare RCL;C;EC;FLIGHTPHASE;TD;Sound;SynthVoice;Hybride;SystPage;ML;Msg Spare;Msg CMF Compute;Msg CMF Display;Msg Classe4;CL Phase
FWAL_22_60_010;2260W010;1040;SURV REACTIVE W/S DET FAULT;INDEPENDENT;LEVEL_1;;;;EC;X2XXXXX8XXXXX;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_60_020;2260V020;71;WINDSHEAR (SV);SYNTHESIS_VOICE;SYNTHESIS_ALERT;;;;EC;1XXXX6789XXXX;0.00;NO_SOUND;WINDSHEAR;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;FAUX;FAUX;FAUX;0
FWAL_22_60_030;2260V030;75;SPEED SPEED (SV);SYNTHESIS_VOICE;SYNTHESIS_ALERT;;;;EC;XXXXX6789XXXX;0.00;NO_SOUND;SPEED;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;FAUX;FAUX;FAUX;0
FWAL_22_62_100;2262W100;164;FUEL WEIGHT DATA DISAGREE;INDEPENDENT;LEVEL_2;;;C;EC;XXXXXXX8XXXXX;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_62_110;2262W110;432;FUEL CG DATA DISAGREE;INDEPENDENT;LEVEL_2;;;C;EC;XXXXXXX8XXXXX;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_70_010;2270W010;378;AUTO FLT FMC-A FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXXD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_70_020;2270W020;379;AUTO FLT FMC-B FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXXD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_70_030;2270W030;380;AUTO FLT FMC-C FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXXD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_70_040;2270W040;390;AUTO FLT FMS 1 FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX89XXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_22_70_050;2270W050;391;AUTO FLT FMS 2 FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX89XXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
